2026 第一屆全國董總 AI 大講堂 - 台灣上市櫃公司董監事治理主管 AI 必修課唯一選擇				
"▋2026 第一屆全國董總 AI 大講堂 - 台灣上市櫃公司董監事治理主管 AI 必修課唯一選擇
▋主辦：財團法人台灣人工智慧學校基金會、台灣證券交易所 (擬邀)
▋時間：2026.04.28 (二) 09:00-16:30
▋地點：台北萬豪酒店五樓萬豪廳 (台北市中山區樂群二路199號) 
▋費用：6,600 元 (含稅)
"				
時間	主題	預計講者	大綱參考	董總AI大講堂設計邏輯
08:30-09:00	  參與者報到			
09:00-09:20	  主辦單位暨貴賓致詞 / 團體合影	  ▋台灣人工智慧學校執行長 / 台灣證券交易所		
09:20-10:50	  全球 AI 治理新標準：從法規合規到資安防禦的信任藍圖	  ▋陳伶志 台灣人工智慧學校 執行長 / 中研院資服處 處長	" 1. 全球 AI 法案解析： 從歐盟 AI Act 到台灣 AI 基本法，企業董事會的法律義務。
 2. 企業隱私與數據產權： 如何在訓練模型與保護公司商業機密之間取得平衡。
 3. AI 資安攻防： 應對生成式 AI 帶來的資安新威脅（如深偽詐騙、對抗性攻擊）。
 4. 倫理與問責： 當 AI 決策錯誤時，董事會應承擔的責任與預防機制。"	"陳伶志 處長（守方防弊 / 風險）： 

身為資服處長與 AIA 執行長，最適合談「地基」與「法規」。
董監事首重「不出事」，因此從治理與安全切入最能引起共鳴。"
10:50-11:10	  休息用茶點			
11:10-12:40	 AI 時代的台灣經濟：匯率、利率與 AI 動能的交織影響	  ▋連賢明 中華經濟研究院 院長		"陳維超 博士（軟實力 / 組織與人才）： 

陳維超擅長以擔任過產業數位長與首席AI顧問的第一線經驗將複
雜管理理論轉化為具體心法。董監事需要知道如何「管人」與
「管組織」，確保技術導入時不會產生內部阻力。"
12:40-14:00	  中午休息 (供餐)			
14:00-15:30	  產業 AI 化藍圖：生成式 AI 驅動的商業模式再造	  ▋余孝先 清華大學科技管理學院 兼任教授	" 1. 技術版圖演進： 從通用大型語言模型（LLM）到產業專用模型（sLLM）的選擇。
 2. 邊緣 AI (Edge AI) 趨勢： 台灣硬體實力如何轉化為軟硬整合的 AI 競爭力。
 3. 成功案例拆解： 上市櫃公司導入 AI 提升毛利率與市佔率的實體路徑。
 4. 佈局策略： 企業應採購現成方案（Buy）、委外開發（Outsource）還是自行建
     置（Build）？"	"余孝先 教授（攻方興利 / 趨勢）：

工研院站在技術最前線，負責告訴大老們「未來在哪裡」以及
「別人都在做什麼」，提供策略性的技術佈局參考。"
15:30-15:50	 休息用茶點			
15:50-16:20	  數據驅動的決策革新：以 AI 優化企業營運效率與股東價值	  ▋李家岩 臺灣大學管理學院 副院長暨 EiMBA 執行長	" 1. AI 投資報酬率（ROI）計算： 如何量化 AI 專案對企業財報的實質貢獻。
 2. 智慧供應鏈與營運： 運用 AI 預測市場需求、優化產能配置與庫存控管。
 3. 數據資產價值化： 將企業內部的結構化與非結構化數據轉化為決策資本。
 4. 董事會決策支援： 建立即時、透明的 AI 數據戰情室，輔助高層精準決策。"	"李家岩 副院長（硬實力 / 數據與流程）：

專長於工業工程與數據決策，能精準對接上市櫃公司對於產能、
效率與實質獲利的追求。"
16:20-16:30	  課程總結	  ▋蔡明順 台灣人工智慧學校 校務長		
